City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
343,Muli,MV,81.43,2.9167,73.5667,Medhufushi Island Resort
352,Kalianget,ID,78.04,-7.05,113.9333,Pesanggrahan Garam
353,Alyangula,AU,84.2,-13.8483,136.4192,Groote Eylandt Lodge
354,Santa Isabel,BR,82.4,-23.3156,-46.2214,Chácara Sombra do Altíssimo
356,Angoche,MZ,79.99,-16.2325,39.9086,Guest House HESADA
358,Pochutla,MX,87.8,15.7432,-96.4661,Hotel Posada San Jose
362,Sabang,ID,81.03,5.8933,95.3214,Hotel Citra
366,Namatanai,PG,84.43,-3.6667,152.4333,Namatanai Hotel
370,Gualaca,PA,87.8,8.5333,-82.3,Pensión La Florida
372,Notse,TG,82.31,6.95,1.1667,Le Berceau
379,Catia La Mar,VE,78.8,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
382,San Borja,BO,81.03,-14.8167,-66.85,
387,Takoradi,GH,79.36,4.8845,-1.7554,Raybow International Hotel
393,Bathsheba,BB,78.8,13.2167,-59.5167,Atlantis Hotel
395,Pontes E Lacerda,BR,78.51,-15.2261,-59.3353,Hotel Bressan
397,Trenggalek,ID,75.0,-8.05,111.7167,OYO 2966 Hotel Atriaz
399,Salinopolis,BR,79.88,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
400,Alofi,NU,82.4,-19.0595,-169.9187,Taloa Heights
405,Daru,PG,78.98,-9.0763,143.2092,Daru Lodge
408,Seminole,US,78.8,28.7086,-81.2081,WHITNEY-WOLCOTT HOUSE ON LAKE CHARM
410,Padang,ID,77.13,-0.9492,100.3543,Mercure Padang
412,Yenagoa,NG,79.0,4.9247,6.2642,Aridolf Resort Wellness and Spa
418,Port-Gentil,GA,80.6,-0.7193,8.7815,Fengshui Residence
420,Itacoatiara,BR,80.28,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
423,Acapulco,MX,84.2,16.8634,-99.8901,HS Hotsson Smart Acapulco
430,Pinotepa Nacional,MX,82.24,16.3167,-98.0167,Hotel Maria Del Carmen
431,Samarai,PG,84.0,-10.6167,150.6667,Nuli Sapi
432,Natal,BR,80.6,-5.795,-35.2094,Villa Park Hotel | Natal
441,Belmonte,BR,78.8,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
448,Bairiki,KI,82.4,1.3292,172.9752,Tarawa Boutique Hotel
449,Manokwari,ID,76.73,-0.8667,134.0833,Swiss Belhotel Manokwari
450,Clarence Town,AU,80.01,-32.5833,151.7833,River Downs Cottage
455,Grand Gaube,MU,80.01,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
456,Rodrigues Alves,BR,82.4,-7.7379999999999995,-72.6509,Pousada Aconchego
