City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,San Patricio,28.017,-97.5169,77.0,23,1,11.5,US,2021-01-31 18:14:08
68,Sao Joao Da Barra,-21.6403,-41.0511,87.8,48,0,23.02,BR,2021-01-31 18:14:09
69,Douentza,14.9951,-2.9517,79.25,14,81,6.08,ML,2021-01-31 18:14:09
70,Cabo San Lucas,22.8909,-109.9124,71.6,73,75,4.61,MX,2021-01-31 18:12:23
71,Kampene,-3.6,26.6667,72.54,88,100,0.96,CD,2021-01-31 18:09:11
72,Barrow,71.2906,-156.7887,-16.6,69,90,6.91,US,2021-01-31 18:09:11
73,Longyearbyen,78.2186,15.6401,-4.0,45,20,17.27,SJ,2021-01-31 18:14:10
74,Lorengau,-2.0226,147.2712,82.15,82,100,9.37,PG,2021-01-31 18:09:12
75,Utrecht,52.0,5.25,33.01,86,100,3.0,NL,2021-01-31 18:09:34
76,Kununurra,-15.7667,128.7333,78.8,87,65,4.61,AU,2021-01-31 18:14:11
77,Sal Rei,16.1833,-22.9167,77.0,57,0,17.27,CV,2021-01-31 18:14:12
78,Khatanga,71.9667,102.5,-44.18,79,48,5.23,RU,2021-01-31 18:14:12
79,Mandalgovi,45.7625,106.2708,-11.76,77,31,20.65,MN,2021-01-31 18:14:13
80,Astana,51.1801,71.446,1.4,85,100,6.71,KZ,2021-01-31 18:14:13
81,Klaksvik,62.2266,-6.589,26.6,68,75,5.75,FO,2021-01-31 18:14:13
82,Matara,5.9485,80.5353,75.52,88,1,5.97,LK,2021-01-31 18:14:14
83,Vila Velha,-20.3297,-40.2925,89.01,62,20,20.71,BR,2021-01-31 18:14:14
84,Vila Franca Do Campo,37.7167,-25.4333,64.0,88,75,16.11,PT,2021-01-31 18:14:15
85,Ushuaia,-54.8,-68.3,53.6,58,75,3.44,AR,2021-01-31 18:09:23
86,Elizabethton,36.3487,-82.2107,48.2,71,90,6.91,US,2021-01-31 18:14:16
87,Bathsheba,13.2167,-59.5167,84.2,58,20,24.16,BB,2021-01-31 18:14:17
88,Tuktoyaktuk,69.4541,-133.0374,-31.0,75,75,2.3,CA,2021-01-31 18:14:17
89,Saint Andrews,34.0454,-81.1293,46.4,93,90,2.73,US,2021-01-31 18:14:18
90,Grand-Santi,4.25,-54.3833,85.19,69,32,5.35,GF,2021-01-31 18:14:18
91,Luwuk,-0.9516,122.7875,79.12,69,100,4.88,ID,2021-01-31 18:14:18
92,Portland,45.5234,-122.6762,50.0,87,90,16.11,US,2021-01-31 18:10:20
93,Cayenne,4.9333,-52.3333,82.4,74,75,12.66,GF,2021-01-31 18:12:27
94,Khorixas,-20.3667,14.9667,71.91,47,45,18.63,NA,2021-01-31 18:14:19
95,Mar Del Plata,-38.0023,-57.5575,64.4,68,90,17.27,AR,2021-01-31 18:14:03
