City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,Christchurch,-43.5333,172.6333,66.0,77,90,11.5,NZ,2021-01-31 22:32:24
67,Tessalit,20.1986,1.0114,63.77,23,41,8.39,ML,2021-01-31 22:35:10
68,Ponta Do Sol,32.6667,-17.1,55.99,74,0,3.0,PT,2021-01-31 22:33:51
69,Airai,-8.9266,125.4092,61.7,100,100,5.08,TL,2021-01-31 22:35:39
70,Bulungu,-4.55,18.6,70.65,89,64,0.89,CD,2021-01-31 22:35:40
71,Kodiak,57.79,-152.4072,30.2,59,1,9.22,US,2021-01-31 22:35:40
72,Mayo,38.8876,-76.5119,32.0,100,90,10.36,US,2021-01-31 22:34:14
73,Meulaboh,4.1363,96.1285,74.66,88,67,5.28,ID,2021-01-31 22:31:50
74,Zinder,13.8072,8.9881,68.25,21,0,10.22,NE,2021-01-31 22:35:40
75,Lorengau,-2.0226,147.2712,83.73,78,89,8.37,PG,2021-01-31 22:32:35
76,Hobart,-42.8794,147.3294,69.01,68,75,6.91,AU,2021-01-31 22:31:00
77,Kavieng,-2.5744,150.7967,84.02,80,100,14.29,PG,2021-01-31 22:35:41
78,Odda,60.0691,6.5457,28.0,92,88,1.01,NO,2021-01-31 22:35:41
79,Dandeli,15.2667,74.6167,67.28,45,69,3.96,IN,2021-01-31 22:35:41
80,Ampanihy,-24.7,44.75,77.63,77,21,1.74,MG,2021-01-31 22:35:41
81,Provideniya,64.3833,-173.3,3.2,85,90,33.55,RU,2021-01-31 22:35:42
82,Esperance,-33.8667,121.9,59.0,94,31,5.75,AU,2021-01-31 22:35:42
83,Vaini,-21.2,-175.2,78.8,94,90,8.05,TO,2021-01-31 22:31:18
84,Boden,65.8252,21.6886,15.8,92,90,4.61,SE,2021-01-31 22:35:42
85,Sobolevo,54.4299,31.8996,19.15,97,87,11.9,RU,2021-01-31 22:35:43
86,Bethel,41.3712,-73.414,21.99,53,90,5.75,US,2021-01-31 22:32:55
87,Saint-Joseph,-21.3667,55.6167,80.6,69,20,18.41,RE,2021-01-31 22:34:03
88,Yakeshi,49.2833,120.7333,-24.14,85,100,4.21,CN,2021-01-31 22:35:43
89,Tuatapere,-46.1333,167.6833,69.06,53,6,1.95,NZ,2021-01-31 22:34:11
90,Labuhan,-6.8844,112.2051,77.61,85,100,9.1,ID,2021-01-31 22:31:35
91,Faanui,-16.4833,-151.75,81.54,75,78,10.36,PF,2021-01-31 22:35:44
92,Butaritari,3.0707,172.7902,80.65,82,65,12.68,KI,2021-01-31 22:35:44
93,Clyde River,70.4692,-68.5914,-5.8,71,90,6.91,CA,2021-01-31 22:35:44
94,Dinajpur,25.6272,88.6386,52.92,52,0,5.95,BD,2021-01-31 22:35:44
95,Bagotville,-28.9833,153.4167,78.8,61,75,12.66,AU,2021-01-31 22:35:45
96,Vitim,59.4511,112.5578,-29.99,80,100,9.57,RU,2021-01-31 22:35:45
97,Mataura,-46.1927,168.8643,71.24,45,56,2.57,NZ,2021-01-31 22:35:45
98,Kuldur,49.2167,131.6333,-12.42,84,100,4.36,RU,2021-01-31 22:35:45
99,Torbay,47.6666,-52.7314,32.0,93,90,19.57,CA,2021-01-31 22:32:42
100,Sisimiut,66.9395,-53.6735,6.01,80,18,8.12,GL,2021-01-31 22:35:46
101,Port Blair,11.6667,92.75,78.21,85,16,11.1,IN,2021-01-31 22:35:46
102,Ailigandi,9.2333,-78.0167,79.56,80,57,7.61,PA,2021-01-31 22:35:46
103,Isangel,-19.55,169.2667,78.8,94,90,5.75,VU,2021-01-31 22:35:46
104,Yar-Sale,66.8333,70.8333,-13.79,89,86,8.12,RU,2021-01-31 22:35:46
105,Asau,46.4333,26.4,28.99,71,100,3.09,RO,2021-01-31 22:35:46
106,Khatanga,71.9667,102.5,-40.05,80,24,7.9,RU,2021-01-31 22:35:47
107,Deori,21.45,82.6167,51.17,41,0,1.88,IN,2021-01-31 22:35:47
108,Makaha,21.4694,-158.2175,82.4,73,40,12.66,US,2021-01-31 22:35:47
109,Shenjiamen,29.9576,122.298,49.73,95,94,6.51,CN,2021-01-31 22:35:47
110,Jamestown,42.097,-79.2353,30.0,74,90,11.5,US,2021-01-31 22:35:02
111,Berlevag,70.8578,29.0864,26.6,86,90,13.8,NO,2021-01-31 22:35:48
112,Gorin,51.1983,136.6669,-24.09,86,44,2.21,RU,2021-01-31 22:35:48
113,Arraial Do Cabo,-22.9661,-42.0278,78.8,73,40,14.97,BR,2021-01-31 22:35:48
114,Te Anau,-45.4167,167.7167,67.33,56,84,0.87,NZ,2021-01-31 22:35:48
115,Liverpool,53.4106,-2.9779,36.0,75,90,12.66,GB,2021-01-31 22:35:48
116,Sur,22.5667,59.5289,68.7,56,0,4.03,OM,2021-01-31 22:35:48
117,Port Augusta,-32.5,137.7667,69.8,78,90,17.27,AU,2021-01-31 22:35:49
118,Bontang,0.1333,117.5,76.39,86,94,4.05,ID,2021-01-31 22:34:12
119,Diyarb Najm,30.7542,31.4393,52.48,81,0,4.16,EG,2021-01-31 22:35:49
120,Vallenar,-28.5708,-70.7581,76.68,43,0,5.99,CL,2021-01-31 22:35:49
121,Saint-Ambroise,48.5501,-71.3324,7.0,72,61,2.3,CA,2021-01-31 22:35:49
122,Great Yarmouth,52.6083,1.7305,37.99,87,90,10.36,GB,2021-01-31 22:32:06
123,Ranong,9.9658,98.6348,71.92,86,40,4.14,TH,2021-01-31 22:35:50
124,Korla,41.7597,86.1469,19.53,83,66,1.66,CN,2021-01-31 22:35:50
125,Severo-Kurilsk,50.6789,156.125,22.62,91,90,40.22,RU,2021-01-31 22:32:13
126,Linxia,35.6003,103.2064,20.55,80,0,1.45,CN,2021-01-31 22:35:50
127,Sangar,63.9242,127.4739,-48.21,77,95,3.6,RU,2021-01-31 22:35:50
128,Kamenka,51.3223,42.7678,20.39,97,50,7.87,RU,2021-01-31 22:35:50
129,Hay River,60.8156,-115.7999,-5.8,77,100,9.22,CA,2021-01-31 22:35:50
130,Goleta,36.8181,10.305,57.2,62,40,13.8,TN,2021-01-31 22:35:51
131,Hualmay,-11.0964,-77.6139,73.26,72,55,11.59,PE,2021-01-31 22:35:51
132,San Quintin,30.4833,-115.95,64.47,48,75,9.08,MX,2021-01-31 22:35:51
133,Talnakh,69.4865,88.3972,-19.34,76,94,9.86,RU,2021-01-31 22:35:51
134,Axim,4.8699,-2.2405,79.52,86,14,11.45,GH,2021-01-31 22:33:19
135,Ayorou,14.7308,0.9174,73.85,17,98,10.07,NE,2021-01-31 22:35:52
136,Avarua,-21.2078,-159.775,77.0,94,75,10.36,CK,2021-01-31 22:35:52
137,Xining,36.6167,101.7667,11.5,65,0,3.04,CN,2021-01-31 22:35:52
138,Pundaguitan,6.3711,126.1689,80.06,82,100,15.57,PH,2021-01-31 22:35:53
139,Palmer,42.1584,-72.3287,21.0,53,75,0.29,US,2021-01-31 22:31:45
140,Bambous Virieux,-20.3428,57.7575,80.6,78,40,13.8,MU,2021-01-31 22:35:53
141,Zhangye,38.9342,100.4517,18.73,69,0,2.64,CN,2021-01-31 22:35:54
142,Siocon,7.7061,122.1353,78.01,80,100,9.8,PH,2021-01-31 22:35:54
143,Hisar,29.1667,75.7167,52.2,42,4,4.34,IN,2021-01-31 22:35:54
144,Cabedelo,-6.9811,-34.8339,80.6,78,20,8.05,BR,2021-01-31 22:35:54
145,Castro,-24.7911,-50.0119,65.7,94,99,5.5,BR,2021-01-31 22:33:54
146,Tome,-36.6167,-72.95,71.6,56,0,10.36,CL,2021-01-31 22:35:54
147,Manono,-7.3,27.4167,71.74,91,100,2.46,CD,2021-01-31 22:35:55
148,Mbandaka,0.0487,18.2603,72.39,91,58,3.38,CD,2021-01-31 22:35:55
149,Estelle,29.8458,-90.1067,71.6,43,1,13.8,US,2021-01-31 22:35:55
150,Bubaque,11.2833,-15.8333,78.66,72,68,10.04,GW,2021-01-31 22:35:55
151,Ferrol,43.4832,-8.2369,57.99,79,96,8.01,ES,2021-01-31 22:35:55
152,Dingle,10.9995,122.6711,73.29,90,90,8.9,PH,2021-01-31 22:35:56
153,Longyearbyen,78.2186,15.6401,3.2,33,0,14.97,SJ,2021-01-31 22:35:56
154,Pevek,69.7008,170.3133,-26.99,85,81,2.37,RU,2021-01-31 22:35:56
155,Opuwo,-18.0607,13.84,67.78,54,100,6.22,NA,2021-01-31 22:35:56
156,Sitka,57.0531,-135.33,41.0,52,40,5.75,US,2021-01-31 22:35:56
157,Geraldton,-28.7667,114.6,80.6,24,0,5.75,AU,2021-01-31 22:35:57
158,Tupik,54.4253,119.9327,-28.52,82,100,2.39,RU,2021-01-31 22:31:12
159,Yaan,7.3833,8.5667,80.11,16,8,1.34,NG,2021-01-31 22:35:57
160,Vila Do Maio,15.1333,-23.2167,71.6,73,0,18.41,CV,2021-01-31 22:35:57
161,Puerto Madero,14.7208,-92.4215,87.8,58,20,8.05,MX,2021-01-31 22:35:58
162,Auki,-8.7676,160.7034,84.43,75,80,18.39,SB,2021-01-31 22:35:58
163,Neepawa,50.2289,-99.4664,21.2,86,90,6.91,CA,2021-01-31 22:35:58
164,New Norfolk,-42.7826,147.0587,70.0,50,42,1.01,AU,2021-01-31 22:35:58
165,Makakilo City,21.3469,-158.0858,82.4,51,40,9.22,US,2021-01-31 22:35:58
166,Kashi,39.4547,75.9797,26.6,63,98,6.71,CN,2021-01-31 22:35:58
167,Fairbanks,64.8378,-147.7164,-2.2,84,90,0.83,US,2021-01-31 22:35:26
168,Cape Town,-33.9258,18.4232,66.0,82,75,18.41,ZA,2021-01-31 22:32:06
169,Grindavik,63.8424,-22.4338,32.0,74,75,13.8,IS,2021-01-31 22:35:59
170,Lebu,-37.6167,-73.65,58.55,83,3,15.61,CL,2021-01-31 22:35:59
171,Guerrero Negro,27.9769,-114.0611,68.72,35,89,8.86,MX,2021-01-31 22:35:59
172,Buala,-8.145,159.5921,85.23,74,67,18.5,SB,2021-01-31 22:35:59
173,Tilichiki,60.4667,166.1,-4.63,93,100,18.48,RU,2021-01-31 22:33:09
174,San Cristobal,7.7669,-72.225,87.8,42,40,4.61,VE,2021-01-31 22:36:00
175,Bozuyuk,39.9078,30.0367,50.0,87,0,11.5,TR,2021-01-31 22:36:00
176,Otane,-39.8833,176.6333,71.01,50,25,4.0,NZ,2021-01-31 22:36:00
177,Eyl,7.9803,49.8164,72.59,72,34,15.73,SO,2021-01-31 22:36:00
178,Kruisfontein,-34.0033,24.7314,68.0,81,71,3.0,ZA,2021-01-31 22:36:00
179,Bastrop,32.7562,-91.8724,52.0,58,90,10.36,US,2021-01-31 22:36:01
180,Port Alfred,-33.5906,26.891,72.0,84,6,5.99,ZA,2021-01-31 22:31:22
181,Arlit,18.7369,7.3853,66.42,20,21,7.9,NE,2021-01-31 22:36:01
182,Colwyn Bay,53.2948,-3.7267,36.0,85,100,5.99,GB,2021-01-31 22:36:01
183,Mikhaylovka,50.06,43.2379,30.99,84,100,5.01,RU,2021-01-31 22:36:01
184,Cravo Norte,6.3017,-70.2041,84.99,55,100,5.7,CO,2021-01-31 22:36:02
185,Chapais,49.7834,-74.8492,-0.4,78,1,3.44,CA,2021-01-31 22:36:02
186,Nigde,37.8333,34.75,30.85,97,99,8.14,TR,2021-01-31 22:36:02
187,Kaitangata,-46.2817,169.8464,66.99,71,85,4.0,NZ,2021-01-31 22:33:39
188,Benghazi,32.1167,20.0667,65.7,47,58,21.68,LY,2021-01-31 22:36:02
189,East London,-33.0153,27.9116,73.26,72,26,17.07,ZA,2021-01-31 22:36:02
190,Bismarck,46.8083,-100.7837,21.2,86,90,5.75,US,2021-01-31 22:34:01
191,Mirnyy,62.5353,113.9611,-37.68,82,74,3.49,RU,2021-01-31 22:36:03
192,Mankapur,27.0333,82.2333,46.54,55,0,3.85,IN,2021-01-31 22:36:03
193,Saint-Augustin,51.226,-58.6502,15.19,91,98,12.95,CA,2021-01-31 22:36:03
194,Wladyslawowo,54.7909,18.4009,30.0,74,75,14.97,PL,2021-01-31 22:36:03
195,Rotterdam,51.9225,4.4792,34.0,80,90,11.5,NL,2021-01-31 22:32:30
196,Kamaishi,39.2667,141.8833,30.27,88,80,3.76,JP,2021-01-31 22:33:23
197,Saint George,37.1041,-113.5841,57.0,43,1,3.91,US,2021-01-31 22:31:42
198,Codrington,-38.2667,141.9667,61.02,69,100,6.22,AU,2021-01-31 22:36:04
199,Rocha,-34.4833,-54.3333,66.72,75,79,7.78,UY,2021-01-31 22:36:05
200,Chaozhou,23.6651,116.6379,53.6,94,13,3.09,CN,2021-01-31 22:36:05
201,Kaka,37.3482,59.6143,47.01,55,0,4.52,TM,2021-01-31 22:36:05
202,Ancud,-41.8697,-73.8203,68.0,59,0,8.05,CL,2021-01-31 22:33:51
203,Otavi,-19.65,17.3333,67.51,73,100,2.35,NA,2021-01-31 22:36:06
204,Buy,58.4786,41.53,18.61,96,100,11.97,RU,2021-01-31 22:36:06
205,Belaya Gora,68.5333,146.4167,-31.52,84,100,3.44,RU,2021-01-31 22:36:06
206,Balanacan,13.5289,121.8677,75.88,81,38,14.2,PH,2021-01-31 22:36:06
207,Muzaffarnagar,29.4667,77.6833,48.85,49,3,3.09,IN,2021-01-31 22:36:06
208,Santa Cruz De La Palma,28.6835,-17.7642,64.4,77,0,8.05,ES,2021-01-31 22:36:07
209,Saint-Philippe,-21.3585,55.7679,80.6,69,20,18.41,RE,2021-01-31 22:36:07
210,Jiujiang,29.7333,115.9833,46.76,94,100,2.26,CN,2021-01-31 22:35:18
211,Vangaindrano,-23.35,47.6,76.57,90,97,3.58,MG,2021-01-31 22:36:07
212,Ravar,31.2656,56.8055,48.61,46,0,3.18,IR,2021-01-31 22:36:07
213,Dong Hoi,17.4833,106.6,68.88,89,65,5.5,VN,2021-01-31 22:36:08
214,Tarakan,3.3,117.6333,77.0,94,40,2.3,ID,2021-01-31 22:36:08
215,Verkhoyansk,67.5447,133.385,-46.95,75,100,0.29,RU,2021-01-31 22:36:08
216,Hamilton,39.1834,-84.5333,37.99,93,90,8.05,US,2021-01-31 22:36:08
217,Champerico,14.3,-91.9167,91.4,52,40,11.5,GT,2021-01-31 22:33:19
218,Teguise,29.0605,-13.564,64.4,82,20,25.32,ES,2021-01-31 22:36:09
219,Rio Grande,-32.035,-52.0986,78.8,78,75,3.44,BR,2021-01-31 22:35:51
220,Praia Da Vitoria,38.7333,-27.0667,62.6,94,40,27.09,PT,2021-01-31 22:36:09
221,High Level,58.5169,-117.136,-2.2,78,90,10.36,CA,2021-01-31 22:36:09
222,Saldanha,-33.0117,17.9442,66.18,84,94,12.46,ZA,2021-01-31 22:36:10
223,Paredon,16.0333,-93.8667,86.2,50,87,2.57,MX,2021-01-31 22:36:10
224,Mabaruma,8.2,-59.7833,74.66,84,79,5.79,GY,2021-01-31 22:33:49
225,Launceston,-41.45,147.1667,60.01,88,90,4.61,AU,2021-01-31 22:36:07
226,Odweyne,9.4092,45.064,65.89,27,0,12.59,SO,2021-01-31 22:36:11
227,Teya,60.3778,92.6267,-18.74,81,96,1.54,RU,2021-01-31 22:36:11
228,Sambava,-14.2667,50.1667,76.21,84,19,7.36,MG,2021-01-31 22:36:11
229,Solano,38.2333,-121.9511,64.0,48,1,4.61,US,2021-01-31 22:36:11
230,Goalpara,26.1667,90.6167,54.95,51,0,0.49,IN,2021-01-31 22:36:11
231,Swan Hill,-35.3378,143.5544,71.89,46,93,1.81,AU,2021-01-31 22:32:46
232,Muhos,64.808,25.9931,12.99,85,90,3.44,FI,2021-01-31 22:36:12
233,Olga,43.7444,135.2892,14.63,95,99,4.72,RU,2021-01-31 22:36:12
234,Laguna,38.421,-121.4238,64.99,39,1,4.61,US,2021-01-31 22:33:15
235,Oranjemund,-28.55,16.4333,65.19,90,33,10.27,NA,2021-01-31 22:36:12
236,Hilo,19.7297,-155.09,78.8,57,20,4.61,US,2021-01-31 22:31:41
237,Kloulklubed,7.0419,134.2556,78.8,89,90,9.22,PW,2021-01-31 22:36:12
238,Kawalu,-7.3817,108.2082,71.15,85,99,2.71,ID,2021-01-31 22:36:13
239,Turukhansk,65.8167,87.9833,-11.42,88,100,11.68,RU,2021-01-31 22:33:52
240,Egvekinot,66.3167,-179.1667,-11.49,90,100,18.72,RU,2021-01-31 22:35:10
241,Bengkulu,-3.8004,102.2655,74.95,81,91,4.34,ID,2021-01-31 22:36:13
242,Gisors,49.2818,1.7801,48.2,93,90,3.44,FR,2021-01-31 22:36:14
243,Itamaraca,-7.7478,-34.8256,78.8,73,75,8.05,BR,2021-01-31 22:36:14
244,Nishihara,26.1842,127.7558,62.6,51,20,5.75,JP,2021-01-31 22:36:14
245,Eydhafushi,5.1033,73.0708,82.26,71,55,11.86,MV,2021-01-31 22:36:14
